source,target,value
/wp-content/gallery/konopiste-czech-republic/thumbs/thumbs_landscape8-thumb.jpg,/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4989-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4989-thumb.jpg,/wp-content/gallery/shooglenifty-20060811-gromo/thumbs/thumbs_f240451400-thumb.jpg,1
/wp-content/gallery/shooglenifty-20060811-gromo/thumbs/thumbs_f240451400-thumb.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_8127-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_8127-thumb.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_8003-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_8003-thumb.jpg,/wp-content/gallery/co-clare/thumbs/thumbs_raw__MG_5456-thumb.jpg,1
/wp-content/gallery/co-clare/thumbs/thumbs_raw__MG_5456-thumb.jpg,/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4959-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4959-thumb.jpg,/wp-content/gallery/gwenael-kerleo/thumbs/thumbs_f224228728-thumb.jpg,1
/wp-content/gallery/gwenael-kerleo/thumbs/thumbs_f224228728-thumb.jpg,/wp-content/gallery/shooglenifty-20060811-gromo/thumbs/thumbs_f240479048-thumb.jpg,1
/wp-content/gallery/shooglenifty-20060811-gromo/thumbs/thumbs_f240479048-thumb.jpg,/wp-content/gallery/shooglenifty-20060811-gromo/thumbs/thumbs_f241504704-thumb.jpg,1
/wp-content/gallery/shooglenifty-20060811-gromo/thumbs/thumbs_f241504704-thumb.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7901-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7901-thumb.jpg,/wp-content/gallery/lofoten/thumbs/thumbs_raw__MG_3726.jpg,1
/wp-content/gallery/lofoten/thumbs/thumbs_raw__MG_3726.jpg,/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1897-thumb.jpg,1
/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1897-thumb.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_8131-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_8131-thumb.jpg,/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1800-thumb.jpg,1
/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1800-thumb.jpg,/wp-content/gallery/lofoten/thumbs/thumbs_raw__MG_3810-thumb.jpg,1
/wp-content/gallery/lofoten/thumbs/thumbs_raw__MG_3810-thumb.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7905-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7905-thumb.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_8064-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_8064-thumb.jpg,/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_5997-thumb.jpg,1
/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_5997-thumb.jpg,/wp-content/gallery/loreena-mckennitt-20080713-brescia/thumbs/thumbs_f182034120-thumb.jpg,1
/wp-content/gallery/loreena-mckennitt-20080713-brescia/thumbs/thumbs_f182034120-thumb.jpg,/wp-content/gallery/co-clare/thumbs/thumbs_MG_5019-thumb.jpg,1
/wp-content/gallery/co-clare/thumbs/thumbs_MG_5019-thumb.jpg,/wp-content/gallery/lofoten/thumbs/thumbs_raw__MG_3519-thumb.jpg,1
/wp-content/gallery/lofoten/thumbs/thumbs_raw__MG_3519-thumb.jpg,/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_5987-thumb.jpg,1
/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_5987-thumb.jpg,/wp-content/gallery/co-clare/thumbs/thumbs_MG_5059-thumb.jpg,1
/wp-content/gallery/co-clare/thumbs/thumbs_MG_5059-thumb.jpg,/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1895-thumb.jpg,1
/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1895-thumb.jpg,/wp-content/gallery/gwenael-kerleo/thumbs/thumbs_f224284960-thumb.jpg,1
/wp-content/gallery/gwenael-kerleo/thumbs/thumbs_f224284960-thumb.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7915-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7915-thumb.jpg,/wp-content/gallery/konopiste-czech-republic/thumbs/thumbs_landscape4-thumb.jpg,1
/wp-content/gallery/konopiste-czech-republic/thumbs/thumbs_landscape4-thumb.jpg,/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1908-thumb.jpg,1
/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1908-thumb.jpg,/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4960-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4960-thumb.jpg,/wp-content/gallery/co-clare/thumbs/thumbs_MG_5013-thumb.jpg,1
/wp-content/gallery/co-clare/thumbs/thumbs_MG_5013-thumb.jpg,/wp-content/gallery/co-clare/thumbs/thumbs_raw__MG_5376-thumb.jpg,1
/wp-content/gallery/co-clare/thumbs/thumbs_raw__MG_5376-thumb.jpg,/wp-content/gallery/lofoten/thumbs/thumbs_raw__MG_3770-thumb.jpg,1
/wp-content/gallery/lofoten/thumbs/thumbs_raw__MG_3770-thumb.jpg,/wp-content/gallery/shooglenifty-20060811-gromo/thumbs/thumbs_f240773152-thumb.jpg,1
/wp-content/gallery/shooglenifty-20060811-gromo/thumbs/thumbs_f240773152-thumb.jpg,/wp-content/gallery/loreena-mckennitt-20080713-brescia/thumbs/thumbs_f182708552-thumb.jpg,1
/wp-content/gallery/loreena-mckennitt-20080713-brescia/thumbs/thumbs_f182708552-thumb.jpg,/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4993-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4993-thumb.jpg,/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4907-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4907-thumb.jpg,/wp-content/gallery/gwenael-kerleo/thumbs/thumbs_f224327272-thumb.jpg,1
/wp-content/gallery/gwenael-kerleo/thumbs/thumbs_f224327272-thumb.jpg,/wp-content/gallery/the-presidents-of-the-united-states-of-america-20081026-palm-springs/thumbs/thumbs_f141509480-thumb.jpg,1
/wp-content/gallery/the-presidents-of-the-united-states-of-america-20081026-palm-springs/thumbs/thumbs_f141509480-thumb.jpg,/wp-content/gallery/gwenael-kerleo/thumbs/thumbs_f224200864-thumb.jpg,1
/wp-content/gallery/gwenael-kerleo/thumbs/thumbs_f224200864-thumb.jpg,/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1813-thumb.jpg,1
/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1813-thumb.jpg,/wp-content/gallery/loreena-mckennitt-20080713-brescia/thumbs/thumbs_f182613384-thumb.jpg,1
/wp-content/gallery/loreena-mckennitt-20080713-brescia/thumbs/thumbs_f182613384-thumb.jpg,/wp-content/gallery/ian-anderson-20081216-turin/thumbs/thumbs_f136923368-thumb.jpg,1
/wp-content/gallery/ian-anderson-20081216-turin/thumbs/thumbs_f136923368-thumb.jpg,/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_5960-thumb.jpg,1
/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_5960-thumb.jpg,/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1811-thumb.jpg,1
/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1811-thumb.jpg,/wp-content/gallery/ian-anderson-20081216-turin/thumbs/thumbs_f137452640-thumb.jpg,1
/wp-content/gallery/ian-anderson-20081216-turin/thumbs/thumbs_f137452640-thumb.jpg,/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_5974-thumb.jpg,1
/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_5974-thumb.jpg,/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_5952-thumb.jpg,1
/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_5952-thumb.jpg,/wp-content/gallery/ian-anderson-20081216-turin/thumbs/thumbs_f137005712-thumb.jpg,1
/wp-content/gallery/ian-anderson-20081216-turin/thumbs/thumbs_f137005712-thumb.jpg,/wp-content/gallery/ian-anderson-20081216-turin/thumbs/thumbs_f137574600-thumb.jpg,1
